Type                                  Module                      Label             Process        Full Name                                              Split level
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
GenEventInfoProduct                   "generator"                 ""                "SIM"          GenEventInfoProduct_generator__SIM                     1
LHEEventProduct                       "externalLHEProducer"       ""                "SIM"          LHEEventProduct_externalLHEProducer__SIM               1
edm::HepMCProduct                     "generatorSmeared"          ""                "SIM"          edmHepMCProduct_generatorSmeared__SIM                  1
edm::RandomEngineStates               "randomEngineStateProducer"   ""                "SIM"          edmRandomEngineStates_randomEngineStateProducer__SIM     1
edm::TriggerResults                   "TriggerResults"            ""                "SIM"          edmTriggerResults_TriggerResults__SIM                  1
vector<PCaloHit>                      "g4SimHits"                 "CalibrationHGCHitsEE"   "SIM"          PCaloHits_g4SimHits_CalibrationHGCHitsEE_SIM           1
vector<PCaloHit>                      "g4SimHits"                 "CalibrationHGCHitsHEback"   "SIM"          PCaloHits_g4SimHits_CalibrationHGCHitsHEback_SIM       1
vector<PCaloHit>                      "g4SimHits"                 "CalibrationHGCHitsHEfront"   "SIM"          PCaloHits_g4SimHits_CalibrationHGCHitsHEfront_SIM      1
vector<PCaloHit>                      "g4SimHits"                 "CaloHitsTk"      "SIM"          PCaloHits_g4SimHits_CaloHitsTk_SIM                     1
vector<PCaloHit>                      "g4SimHits"                 "EcalHitsEB"      "SIM"          PCaloHits_g4SimHits_EcalHitsEB_SIM                     1
vector<PCaloHit>                      "g4SimHits"                 "HFNoseHits"      "SIM"          PCaloHits_g4SimHits_HFNoseHits_SIM                     1
vector<PCaloHit>                      "g4SimHits"                 "HGCHitsEE"       "SIM"          PCaloHits_g4SimHits_HGCHitsEE_SIM                      1
vector<PCaloHit>                      "g4SimHits"                 "HGCHitsHEback"   "SIM"          PCaloHits_g4SimHits_HGCHitsHEback_SIM                  1
vector<PCaloHit>                      "g4SimHits"                 "HGCHitsHEfront"   "SIM"          PCaloHits_g4SimHits_HGCHitsHEfront_SIM                 1
vector<PCaloHit>                      "g4SimHits"                 "HcalHits"        "SIM"          PCaloHits_g4SimHits_HcalHits_SIM                       1
vector<PCaloHit>                      "g4SimHits"                 "ZDCHITS"         "SIM"          PCaloHits_g4SimHits_ZDCHITS_SIM                        1
vector<PSimHit>                       "g4SimHits"                 "BCM1FHits"       "SIM"          PSimHits_g4SimHits_BCM1FHits_SIM                       1
vector<PSimHit>                       "g4SimHits"                 "BHMHits"         "SIM"          PSimHits_g4SimHits_BHMHits_SIM                         1
vector<PSimHit>                       "g4SimHits"                 "CTPPSPixelHits"   "SIM"          PSimHits_g4SimHits_CTPPSPixelHits_SIM                  1
vector<PSimHit>                       "g4SimHits"                 "CTPPSTimingHits"   "SIM"          PSimHits_g4SimHits_CTPPSTimingHits_SIM                 1
vector<PSimHit>                       "g4SimHits"                 "FastTimerHitsBarrel"   "SIM"          PSimHits_g4SimHits_FastTimerHitsBarrel_SIM             1
vector<PSimHit>                       "g4SimHits"                 "FastTimerHitsEndcap"   "SIM"          PSimHits_g4SimHits_FastTimerHitsEndcap_SIM             1
vector<PSimHit>                       "g4SimHits"                 "HFNoseHits"      "SIM"          PSimHits_g4SimHits_HFNoseHits_SIM                      1
vector<PSimHit>                       "g4SimHits"                 "MuonCSCHits"     "SIM"          PSimHits_g4SimHits_MuonCSCHits_SIM                     1
vector<PSimHit>                       "g4SimHits"                 "MuonDTHits"      "SIM"          PSimHits_g4SimHits_MuonDTHits_SIM                      1
vector<PSimHit>                       "g4SimHits"                 "MuonGEMHits"     "SIM"          PSimHits_g4SimHits_MuonGEMHits_SIM                     1
vector<PSimHit>                       "g4SimHits"                 "MuonME0Hits"     "SIM"          PSimHits_g4SimHits_MuonME0Hits_SIM                     1
vector<PSimHit>                       "g4SimHits"                 "MuonRPCHits"     "SIM"          PSimHits_g4SimHits_MuonRPCHits_SIM                     1
vector<PSimHit>                       "g4SimHits"                 "PLTHits"         "SIM"          PSimHits_g4SimHits_PLTHits_SIM                         1
vector<PSimHit>                       "g4SimHits"                 "TrackerHitsPixelBarrelHighTof"   "SIM"          PSimHits_g4SimHits_TrackerHitsPixelBarrelHighTof_SIM     1
vector<PSimHit>                       "g4SimHits"                 "TrackerHitsPixelBarrelLowTof"   "SIM"          PSimHits_g4SimHits_TrackerHitsPixelBarrelLowTof_SIM     1
vector<PSimHit>                       "g4SimHits"                 "TrackerHitsPixelEndcapHighTof"   "SIM"          PSimHits_g4SimHits_TrackerHitsPixelEndcapHighTof_SIM     1
vector<PSimHit>                       "g4SimHits"                 "TrackerHitsPixelEndcapLowTof"   "SIM"          PSimHits_g4SimHits_TrackerHitsPixelEndcapLowTof_SIM     1
vector<PSimHit>                       "g4SimHits"                 "TrackerHitsTECHighTof"   "SIM"          PSimHits_g4SimHits_TrackerHitsTECHighTof_SIM           1
vector<PSimHit>                       "g4SimHits"                 "TrackerHitsTECLowTof"   "SIM"          PSimHits_g4SimHits_TrackerHitsTECLowTof_SIM            1
vector<PSimHit>                       "g4SimHits"                 "TrackerHitsTIBHighTof"   "SIM"          PSimHits_g4SimHits_TrackerHitsTIBHighTof_SIM           1
vector<PSimHit>                       "g4SimHits"                 "TrackerHitsTIBLowTof"   "SIM"          PSimHits_g4SimHits_TrackerHitsTIBLowTof_SIM            1
vector<PSimHit>                       "g4SimHits"                 "TrackerHitsTIDHighTof"   "SIM"          PSimHits_g4SimHits_TrackerHitsTIDHighTof_SIM           1
vector<PSimHit>                       "g4SimHits"                 "TrackerHitsTIDLowTof"   "SIM"          PSimHits_g4SimHits_TrackerHitsTIDLowTof_SIM            1
vector<PSimHit>                       "g4SimHits"                 "TrackerHitsTOBHighTof"   "SIM"          PSimHits_g4SimHits_TrackerHitsTOBHighTof_SIM           1
vector<PSimHit>                       "g4SimHits"                 "TrackerHitsTOBLowTof"   "SIM"          PSimHits_g4SimHits_TrackerHitsTOBLowTof_SIM            1
vector<SimTrack>                      "g4SimHits"                 ""                "SIM"          SimTracks_g4SimHits__SIM                               1
vector<SimVertex>                     "g4SimHits"                 ""                "SIM"          SimVertexs_g4SimHits__SIM                              1
BXVector<GlobalAlgBlk>                "simGtStage2Digis"          ""                "HLT"          GlobalAlgBlkBXVector_simGtStage2Digis__HLT             1
BXVector<L1MuKBMTrack>                "simKBmtfDigis"             ""                "HLT"          L1MuKBMTrackBXVector_simKBmtfDigis__HLT                1
BXVector<l1t::CaloCluster>            "simCaloStage2Digis"        "MP"              "HLT"          l1tCaloClusterBXVector_simCaloStage2Digis_MP_HLT       1
BXVector<l1t::CaloTower>              "simCaloStage2Layer1Digis"   ""                "HLT"          l1tCaloTowerBXVector_simCaloStage2Layer1Digis__HLT     1
BXVector<l1t::CaloTower>              "simCaloStage2Digis"        "MP"              "HLT"          l1tCaloTowerBXVector_simCaloStage2Digis_MP_HLT         1
BXVector<l1t::EGamma>                 "l1tEGammaClusterEmuProducer"   ""                "HLT"          l1tEGammaBXVector_l1tEGammaClusterEmuProducer__HLT     1
BXVector<l1t::EGamma>                 "simCaloStage2Digis"        ""                "HLT"          l1tEGammaBXVector_simCaloStage2Digis__HLT              1
BXVector<l1t::EGamma>                 "l1tLayer2EG"               "L1CtEgEE"        "HLT"          l1tEGammaBXVector_l1tLayer2EG_L1CtEgEE_HLT             1
BXVector<l1t::EGamma>                 "l1tLayer1HF"               "L1Eg"            "HLT"          l1tEGammaBXVector_l1tLayer1HF_L1Eg_HLT                 1
BXVector<l1t::EGamma>                 "l1tLayer1HGCal"            "L1Eg"            "HLT"          l1tEGammaBXVector_l1tLayer1HGCal_L1Eg_HLT              1
BXVector<l1t::EGamma>                 "l1tLayer1HGCalExtended"    "L1Eg"            "HLT"          l1tEGammaBXVector_l1tLayer1HGCalExtended_L1Eg_HLT      1
BXVector<l1t::EGamma>                 "l1tLayer1HGCalNoTK"        "L1Eg"            "HLT"          l1tEGammaBXVector_l1tLayer1HGCalNoTK_L1Eg_HLT          1
